user_id,region,age_group,interacted
2d5b6d8b-f300-414e-a335-6d17eab60a19,Norte,65+,0
edf7488a-c19a-461e-93fe-d9b05ccdb057,Centro,26-35,0
b9c33d36-e3aa-469b-a667-fa102ea79cfa,Centro,26-35,0
fd0dc31b-621b-48a6-b5c1-224b2ba0da29,Alentejo,26-35,0
5d1eaf2f-fe45-4c3b-8786-cb28a41c48f3,Norte,26-35,0
5ba3ab78-35b6-48d1-9447-398f1d70e96a,Norte,26-35,0
613f8309-dc64-4944-bf15-5aab84212ea9,Norte,26-35,0
d562cf37-e64f-4580-927a-ad67c915c8bd,Lisboa,65+,0
4515fc7f-f040-49e0-93bf-ec9f54db1040,Alentejo,56-65,0
c2cb53e5-7374-48dc-88f9-3e4fa438bbdb,Alentejo,36-45,0
6ee30fb1-afe3-4476-be69-2b6d9625bbe5,Alentejo,65+,0
2bd82d6c-78fb-4d1c-afd1-19c49d017e22,Norte,65+,1
395f93c3-463b-4ed0-a2b7-21c347038854,Algarve,65+,0
06ed5bf5-3758-42d6-877b-4b3a7fb243be,Lisboa,36-45,0
718c4c03-baa0-4ad7-9e0c-adeeea055aec,Alentejo,36-45,0
92d9af85-4065-4fcb-a822-64b46e01cd55,Lisboa,56-65,0
1e904de2-acfa-4e85-a888-c88a6b000415,Centro,36-45,0
459ffc68-785c-461a-955f-059a8ca1b43a,Centro,56-65,0
3234b2bd-36a0-478f-85f0-c63fe54765e1,Norte,18-25,0
5b229cf4-d8e3-4fbd-9ecb-ccc824a9a2cd,Lisboa,65+,0
e8a2b7cd-1f33-447f-8192-f54423d08b83,Norte,26-35,0
aa4cdb63-481f-4b43-8514-c0005186b600,Norte,46-55,0
49f298a6-2ad0-4f3d-8b1e-9590e43b57d3,Norte,26-35,0
c17b2602-d4f3-4a3c-8743-9087e997749a,Centro,56-65,0
eee53af6-df02-4569-98d8-575a0818509f,Alentejo,36-45,0
4bad96c0-d7f4-4390-8701-f5fcb90b88f4,Norte,65+,0
49cd65c4-9ad8-48c2-991a-1dae9e5b8ed9,Alentejo,36-45,0
058e1cc7-6173-4b35-b608-9093d32ad556,Norte,18-25,0
e3612e4c-222c-4530-808d-ffde676ac3c8,Norte,26-35,0
f19968c6-a429-4b06-a698-feccbe4a2ec4,Lisboa,56-65,0
d448e0c7-daf2-492d-a76d-30152e37f664,Centro,46-55,0
ed608ef9-e094-4ce2-9417-256b2e525f83,Centro,36-45,0
ff087968-4cfb-4382-aad2-9bd2be94f981,Lisboa,65+,0
1f1e5875-09f4-4538-be1b-99ad87259ae3,Alentejo,46-55,0
4994fbbe-43ef-4657-a1f5-4a231696b56c,Lisboa,56-65,0
80f20824-4caf-4a3e-834a-adba39bdc460,Lisboa,18-25,0
728e9b4d-d57a-4ea4-b7a8-84fcc05b85b5,Centro,46-55,0
7bf9f12d-8d22-4399-8056-21430889206e,Norte,46-55,0
76f7161f-f8ae-4551-9a3c-fc618e01cc76,Norte,36-45,0
d7916ece-8802-4cd6-8119-098b965dc751,Norte,46-55,0
b984eed6-f7ea-4f5a-9f49-df31d2c7e077,Norte,36-45,0
7288b5f2-95eb-48c3-8a5c-f10485f9d7d4,Centro,46-55,0
d48a3e83-8db7-4774-a76e-48acc1f7facb,Alentejo,46-55,0
34744393-8316-40d9-9847-3d0102614494,Lisboa,26-35,1
fa241940-c251-4ca7-82bb-2e3443190e31,Lisboa,36-45,0
53d84808-43d3-4c42-9383-542931460e90,Lisboa,56-65,0
636b46ff-f848-4abf-8ddf-a97b8bb9c97b,Azores,56-65,0
2bb1a6fc-2622-4609-b3f0-74911007d8f8,Lisboa,36-45,0
11a65951-9895-47cd-ada7-fb720e80d5a9,Norte,56-65,0
23d07cf5-d86b-46c1-a150-0f5289d3a218,Centro,46-55,0
379e150f-5544-4a1b-b84c-643d55fa66b3,Centro,46-55,0
87e4e10f-b471-47c4-8f77-9acff810c312,Centro,18-25,0
b4bcf724-d780-44ed-aa15-b1737a5e4a70,Norte,26-35,0
1165b4a1-5de5-41ed-a3ef-dec235b964a0,Norte,26-35,0
d5df9a00-ba9b-4905-816a-32945c1a4b54,Lisboa,56-65,0
b263b956-0c01-424c-a3f8-aad7a7cb4a2f,Algarve,36-45,1
20c527b0-13b2-451d-85c9-d9fa2436ae0e,Norte,46-55,0
377a22ef-4423-4bf2-b175-28730446ddb7,Norte,65+,0
3ca1b91d-71d0-4957-9509-0f9ea05d1cb7,Lisboa,18-25,0
ab81a8bf-a7f2-4057-bad5-5bd616b2163a,Lisboa,18-25,0
c8f2aff4-210d-4825-80de-b050408d8544,Azores,56-65,0
539b1519-ebd3-45ce-9289-5918bcde1da4,Algarve,65+,0
02aa1057-464d-4e52-958f-306a77612ce6,Centro,18-25,0
c009a03a-99e1-4a33-8382-5d48ac8717fb,Lisboa,26-35,1
f1a4587e-a8a7-4d6b-99c1-6f22894962d2,Centro,36-45,0
132b5f77-0c39-453b-93c1-f84a94387ce8,Norte,26-35,0
c1f05a9d-11fa-4eb3-b83f-ce42e67dd99d,Lisboa,46-55,0
9ff86a3d-d4ea-4e79-81c6-0cc7f391d7da,Algarve,65+,0
f4068784-6441-433e-b3c2-8dbecd06f26e,Lisboa,18-25,0
8194c4ce-6f97-4372-bb8f-73e99a97b0e0,Lisboa,46-55,0
40a20176-196a-48fb-abee-8ce98fea032e,Alentejo,26-35,0
fd0a2a31-bdc7-4197-b4ae-fc06546c85e6,Alentejo,26-35,0
c2c86cfd-20cb-4816-96c3-c117afe1f2d5,Lisboa,46-55,0
869fa005-1195-477a-a01d-ab62dac1b7c4,Norte,65+,0
cc53fc1e-08a8-4ded-9ca8-d5004245c16a,Lisboa,36-45,0
494c2649-0f94-4f6e-a240-408ce29a5947,Norte,65+,0
8eee8224-c79e-4843-9c93-3bbf81b277ff,Norte,56-65,0
5ba6a966-b257-49dc-926a-7b356e7b4126,Centro,36-45,0
66c5c4b7-9872-4ddd-9487-bd559da5fddc,Centro,65+,0
9800a855-a115-45d5-8c0f-f69dd62e8af8,Alentejo,46-55,0
52d45acb-f2f9-4933-b0cd-e527198b0b40,Norte,46-55,0
4676b9d1-880a-4937-a09c-1ce8c84a4233,Centro,26-35,0
8d5a0e2b-d7c9-4146-96f6-3ef2fa100065,Centro,65+,0
653b172d-eee4-4763-854c-eea34c15836c,Lisboa,18-25,0
dfbf6da4-24b7-44ab-acd1-a2393c5adfd6,Centro,56-65,0
c2ebcc19-9ecf-4833-ad46-230bacf38cf6,Centro,46-55,0
3683f3ae-284b-4ac9-9637-028bdc4d5b00,Lisboa,18-25,0
1e8828c8-1076-4519-a829-cddb545a37a8,Norte,46-55,0
c0943e2e-c020-4835-a2f0-8a1bac1aaeaa,Algarve,56-65,0
d0fe77f8-a72c-4dbc-b848-ebff96a9e4d2,Centro,65+,0
e977bde8-7104-456d-a4c0-004002c65b7c,Norte,26-35,0
0c55265e-f432-423b-9f49-efd942cbeae3,Norte,56-65,0
a882c373-55fd-476c-a9bc-4811bc2bb1d9,Lisboa,46-55,0
2b9db26c-d84b-49f0-ae36-7e44c9418a3f,Lisboa,36-45,0
6febb193-a6a6-43e5-8dba-ed045a59baee,Madeira,65+,0
70586c49-0626-41da-8e83-5a982243a7a6,Lisboa,36-45,0
49693d03-cba1-4eb3-8dfc-bd936f388951,Norte,56-65,0
57ae6056-9b92-4c9a-996a-de110f077b55,Norte,65+,0
7473c438-9366-458a-a371-93a49ad40f3c,Norte,65+,0
c01ab8ee-bdca-48c8-a23d-6d382915bd06,Lisboa,46-55,0
ba5285f2-0a50-428f-a293-1f4d19728793,Centro,46-55,0
ac1596ad-c163-4598-bafe-bbba2439a921,Centro,46-55,0
7f2139c3-aa0b-43f7-8741-ebb535ddd8a8,Norte,56-65,0
db20f648-d22e-4820-a6e9-772b280cc538,Norte,56-65,0
eecfd371-e35d-47c0-852f-6a49589eab66,Algarve,36-45,0
0f898e1d-d488-4534-9f07-242bbf9957fd,Algarve,26-35,0
6eec2909-a6db-45ca-b352-7c54abf44ee4,Lisboa,18-25,0
6fa8853e-e526-4bfa-8f0f-eddc246c768e,Norte,18-25,0
4b42e458-22fe-4549-991a-4ade64038ae2,Norte,46-55,0
81c7fb18-1d2d-4e60-8bb1-f4ffea4e151c,Norte,65+,1
37fd5098-57b2-4d21-8d1b-8c4c5a52634f,Lisboa,56-65,1
53282e4b-0f25-444b-8dfe-ce31dd4be970,Azores,46-55,0
0c893ee8-1eff-4cb0-a85a-1ba77ba7f95b,Lisboa,26-35,0
e9ccae17-443b-470c-ae01-5c66e2532b55,Lisboa,56-65,0
2c0ed05e-fd63-4aa7-9049-41479f1cc271,Norte,36-45,0
dee22020-8f44-4357-b482-dca556d9f74d,Lisboa,46-55,0
5d5315b9-b870-4f8a-b44b-ee4f85a0e3f0,Centro,26-35,0
bf6c243a-b70e-41a4-970f-bc7476bad5ad,Lisboa,36-45,0
a0623726-ccb5-47a1-b804-214df583b454,Centro,18-25,0
ca0f7386-6ad4-46c5-91b1-6e84bd0852ab,Centro,46-55,0
7df1cc37-ca68-4285-9cf1-db9c60b24b74,Lisboa,36-45,0
